(227, 'Core i7-11700T', 'FCLGA1200', 9.76, '8 / 16', 2021, '35 W')
(228, 'Ryzen 7 1700X', 'AMD Socket AM4', 9.76, '8 / 16', 2017, '95 W')
(229, 'Ryzen 5 PRO 4650GE', 'AMD Socket AM4', 9.66, '6 / 12', 2020, '35 W')
(230, 'Core i3-14100F', 'FCLGA1700', 9.58, '4 / 8', 2024, '58 W')
(231, 'Ryzen 7 PRO 2700', 'Socket AM4', 9.54, '8 / 16', 2018, '65 W')
(232, 'Core i3-14100', 'FCLGA1700', 9.45, '4 / 8', 2024, '60 W')
(233, 'Core i9-10900T', 'FCLGA1200', 9.24, '10 / 20', 2020, '35 W')
(234, 'Ryzen 7 1700', 'AMD Socket AM4', 9.22, '8 / 16', 2017, '65 W')
(235, 'Ryzen 3 PRO 8300GE', 'AMD Socket AM5', 9.18, '4 / 8', 2024, '35 W')
(236, 'Ryzen 7 2700E', 'AMD Socket AM4', 9.14, '8 / 16', 2018, '65 W')
(237, 'Core i3-13100F', 'FCLGA1700', 9.13, '4 / 8', 2023, '58 W')
(238, 'Core i9-13900TE', 'Intel Socket 1700', 9.13, '24 / 32', 2023, '35 W')
(239, 'Core i9-10900TE', 'Intel Socket 1200', 9.11, '10 / 20', 2020, '35 W')
(240, 'Ryzen 3 PRO 8300G', 'AMD Socket AM5', 9.06, '4 / 8', 2024, '65 W')
(241, 'Core i3-12300', 'FCLGA1700', 9.04, '4 / 8', 2022, '60 W')
(242, 'Ryzen 5 PRO 4655GE', 'AMD Socket AM4', 9.0, '6 / 12', 2022, '35 W')
(243, 'Core i7-6900K', 'FCLGA2011', 9.0, '8 / 16', 2016, '140 W')
(244, 'Core i7-9700K', 'FCLGA1151', 9.0, '8 / 8', 2018, '95 W')
(245, 'Core i5-11600T', 'FCLGA1200', 8.97, '6 / 12', 2021, '35 W')
(246, 'Core i5-12500TE', 'Intel Socket 1700', 8.96, '6 / 12', 2022, '35 W')
(247, 'Ryzen 3 8300G', 'AMD Socket AM5', 8.96, '4 / 8', 2024, '65 W')
(248, 'Core i5-10600K', 'FCLGA1200', 8.9, '6 / 12', 2020, '125 W')
(249, 'Core i3-12100E', 'Intel Socket 1700', 8.88, '4 / 8', 2022, '60 W')
(250, 'Core i7-9700KF', 'FCLGA1151', 8.87, '8 / 8', 2019, '95 W')
(251, 'Core i5-10600KF', 'FCLGA1200', 8.85, '6 / 12', 2020, '95 W')
(252, 'Core i7-8086K', 'Intel Socket 1151', 8.83, '6 / 12', 2018, '95 W')
(253, 'Core i3-12100F', 'FCLGA1700', 8.77, '4 / 8', 2022, '58 W')
(254, 'Ryzen 5 2600X', 'AMD Socket AM4', 8.66, '6 / 12', 2018, '95 W')
(255, 'Ryzen 3 PRO 5350G', 'AMD Socket AM4', 8.6, '4 / 8', 2021, '65 W')
(256, 'Core i3-14100T', 'FCLGA1700', 8.55, '4 / 8', 2024, '35 W')
(257, 'Core i5-10600', 'FCLGA1200', 8.5, '6 / 12', 2020, '65 W')
(258, 'Core i7-8700K', 'FCLGA1151', 8.48, '6 / 12', 2017, '95 W')
(259, 'Core i3-13100', 'FCLGA1700', 8.44, '4 / 8', 2023, '60 W')
(260, 'Core i5-11400T', 'FCLGA1200', 8.41, '6 / 12', 2021, '35 W')
(261, 'Ryzen 3 3300X', 'AMD Socket AM4', 8.37, '4 / 8', 2020, '65 W')
(262, 'Ryzen 5 PRO 2600', 'AMD Socket AM4', 8.36, '6 / 12', 2018, '65 W')
